date,total_house_usage,Temperature,Humidity,Visibility,Pressure,Wind speed,Wind bearing,Percipitation intensity,Cloud cover,Summary,Month,Day,Weekday,is_weekend,Quarter,Season,is_holiday,total_house_usage_log
2016-01-01,1274.22516099,34.77827777777778,0.6314166666666666,9.774444444444445,1014.5714305555556,7.473833333333333,265.53472222222223,8.861111111111113e-05,0.5725,Clear,1,1,Friday,0,1,Winter,1,7.15087803885604
2016-01-02,1348.993491117,31.89211111111111,0.5734027777777778,9.988722222222222,1014.2665694444444,7.854611111111111,253.3736111111111,0.0,0.2662083333333334,Clear,1,2,Saturday,1,1,Winter,0,7.207855050026037
2016-01-03,1239.120974342,32.86729166666667,0.6462222222222223,9.93501388888889,1009.1187916666668,7.565541666666666,236.9361111111111,0.0,0.141875,Clear,1,3,Sunday,1,1,Winter,0,7.1229642137936455
2016-01-04,1287.697179332,17.488222222222223,0.5601111111111111,9.870041666666667,1020.457902777778,12.302555555555555,311.8666666666667,0.0,0.1305277777777777,Clear,1,4,Monday,0,1,Winter,0,7.161387048521871
2016-01-05,1232.771560445,12.437458333333332,0.5732222222222223,9.986958333333332,1035.298125,4.856055555555556,293.0736111111111,0.0,0.0021666666666666,Clear,1,5,Tuesday,0,1,Winter,0,7.1178310661329895
2016-01-06,1135.146044927,21.518944444444443,0.5678611111111111,9.905902777777778,1030.96325,3.938305555555555,208.04861111111111,0.0,0.0104722222222222,Clear,1,6,Wednesday,0,1,Winter,0,7.035397151693058
2016-01-07,1171.982743883,23.577555555555556,0.6306388888888889,9.953319444444444,1025.506347222222,2.8587222222222226,100.99027777777778,0.0,0.01375,Clear,1,7,Thursday,0,1,Winter,0,7.06730513744808
2016-01-08,1206.693307978,32.93134722222222,0.7286527777777778,9.654083333333334,1024.2745555555557,4.861152777777778,43.50277777777778,0.0,0.2848055555555555,Clear,1,8,Friday,0,1,Winter,0,7.096467462136558
2016-01-09,1084.031214289,38.60738888888889,0.810875,8.814666666666668,1021.1263611111112,4.596708333333334,62.60138888888889,0.0006640277777777,0.5186111111111111,Clear,1,9,Saturday,1,1,Winter,0,6.989364034490696
2016-01-10,1062.389728531,43.847347222222226,0.7610972222222222,7.748625,999.0653055555556,9.96251388888889,203.0611111111111,0.0243525,0.4871527777777777,Clear,1,10,Sunday,1,1,Winter,0,6.969216941940459
2016-01-11,1239.166193339,23.497555555555557,0.5106944444444445,9.990833333333333,1014.8777638888888,8.573569444444445,244.89583333333337,0.0,0.0966388888888888,Clear,1,11,Monday,0,1,Winter,0,7.123000676504573
2016-01-12,1174.511925542,26.743333333333336,0.6538333333333333,8.044569444444445,1006.4088333333332,8.87476388888889,216.65694444444443,0.0009626388888888,0.237,Clear,1,12,Tuesday,0,1,Winter,0,7.069459013009054
2016-01-13,1316.632305937,19.468722222222222,0.5745,9.417902777777778,1012.5126805555556,8.959958333333333,253.67916666666667,0.0,0.1649583333333333,Clear,1,13,Wednesday,0,1,Winter,0,7.183591697337137
2016-01-14,1218.005856289,26.101000000000003,0.6705416666666667,9.975444444444443,1013.8273333333334,4.002736111111111,180.9125,0.0,0.2714027777777777,Clear,1,14,Thursday,0,1,Winter,0,7.105790933644465
2016-01-15,966.814346413,36.28576388888889,0.779,8.06,1004.0200138888888,4.773458333333333,89.95694444444445,0.0090593055555555,0.4790416666666667,Clear,1,15,Friday,0,1,Winter,0,6.87504027798669
2016-01-16,1155.036140214,35.060375,0.7154722222222222,9.907194444444444,1006.1744722222222,6.541124999999999,283.2888888888889,0.0002086111111111,0.2609583333333333,Clear,1,16,Saturday,1,1,Winter,0,7.05275231190454
2016-01-17,1255.657924922,26.393625,0.6291388888888889,8.789569444444444,1005.4143055555556,8.485402777777777,216.61111111111111,0.0003947222222222,0.3168611111111111,Clear,1,17,Sunday,1,1,Winter,0,7.136211035454261
